Pressure,Temperature,Salinity,Oxygen,Transmissometer,Biospherical PAR,Fluorometer ,Wetlabs OBS
196,9.521,34.658,279.67,98.88,0.1,0.365592565,0
197,9.522,34.659,279.71,98.88,0.09,0.368082334,0
198,9.523,34.659,279.76,98.88,0.09,0.371171992,0
199,9.524,34.659,279.8,98.88,0.09,0.378015231,0
200,9.524,34.659,279.81,98.87,0.08,0.356599987,0
201,9.522,34.659,279.68,98.87,0.08,0.360463353,0
202,9.522,34.659,279.68,98.87,0.07,0.360957182,0
203,9.522,34.659,279.66,98.86,0.07,0.361483288,0
204,9.522,34.658,279.65,98.86,0.06,0.362009395,0
205,9.522,34.658,279.63,98.86,0.06,0.362535501,0
206,9.522,34.658,279.61,98.85,0.05,0.363061607,0
207,9.523,34.659,279.58,98.85,0.05,0.363586804,0
208,9.521,34.658,279.57,98.85,0.04,0.36446045,0
209,9.517,34.657,279.62,98.87,0.04,0.369593083,0
210,9.518,34.658,279.57,98.87,0.04,0.371199995,0
211,9.517,34.657,279.4,98.87,0.04,0.366620657,0
212,9.512,34.656,279.46,98.86,0.04,0.3665633,0
213,9.506,34.655,279.53,98.86,0.04,0.367201386,0
214,9.5,34.654,279.61,98.86,0.04,0.367839473,0
215,9.494,34.653,279.68,98.86,0.04,0.368477559,0
216,9.488,34.652,279.78,98.86,0.04,0.365816501,0
217,9.485,34.651,279.84,98.85,0.04,0.373657829,0
218,9.485,34.651,279.99,98.85,0.04,0.373118028,0
219,9.485,34.651,280.11,98.84,0.03,0.375549177,0
220,9.485,34.651,280.24,98.83,0.03,0.378070677,0
221,9.488,34.652,280.25,98.83,0.03,0.372058048,0
222,9.483,34.649,280.3,98.84,0.03,0.385467939,0
223,9.474,34.649,280.43,98.84,0.03,0.402887686,0
224,9.466,34.647,280.5,98.84,0.03,0.398643145,0
225,9.456,34.645,280.57,98.83,0.03,0.397584866,0
226,9.446,34.643,280.65,98.83,0.03,0.396526587,0
227,9.439,34.642,280.72,98.82,0.02,0.394608227,0
228,9.418,34.638,280.86,98.81,0.02,0.395495624,0
229,9.413,34.635,280.84,98.8,0.02,0.4005,0
